--BEGIN 

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.111:56484    70.37.57.244:80        TIME_WAIT
  TCP    192.168.1.111:56485    65.52.16.230:443       TIME_WAIT
  TCP    192.168.1.111:56499    93.184.215.200:443     TIME_WAIT
  TCP    192.168.1.111:56500    23.198.144.136:80      TIME_WAIT
  TCP    192.168.1.111:56502    23.198.160.237:80      TIME_WAIT
  TCP    192.168.1.111:56503    192.168.1.133:5357     TIME_WAIT
  TCP    192.168.1.111:56550    104.42.121.253:443     ESTABLISHED
  TCP    192.168.1.111:56593    216.58.216.138:443     ESTABLISHED
  TCP    192.168.1.111:56605    192.168.1.133:6565     ESTABLISHED
  TCP    192.168.44.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.48.1:139       0.0.0.0:0              LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:20807             [::]:0                 LISTENING
  TCP    [::]:26143             [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49155             [::]:0                 LISTENING
  TCP    [::]:49408             [::]:0                 LISTENING
  TCP    [::]:49409             [::]:0                 LISTENING
  TCP    [::]:49410             [::]:0                 LISTENING
  TCP    [::]:49414             [::]:0                 LISTENING
  TCP    [::]:49437             [::]:0                 LISTENING
  TCP    [::]:49438             [::]:0                 LISTENING
  TCP    [::]:50919             [::]:0                 LISTENING
  TCP    [::1]:12025            [::]:0                 LISTENING
  TCP    [::1]:12110            [::]:0                 LISTENING
  TCP    [::1]:12119            [::]:0                 LISTENING
  TCP    [::1]:12143            [::]:0                 LISTENING
  TCP    [::1]:12465            [::]:0                 LISTENING
  TCP    [::1]:12563            [::]:0                 LISTENING
  TCP    [::1]:12993            [::]:0                 LISTENING
  TCP    [::1]:12995            [::]:0                 LISTENING
  TCP    [::1]:27275            [::]:0                 LISTENING
  TCP    [::1]:49154            [::1]:49844            ESTABLISHED
  TCP    [::1]:49154            [::1]:54674            ESTABLISHED
  TCP    [::1]:49154            [::1]:56327            ESTABLISHED
  TCP    [::1]:49154            [::1]:56332            ESTABLISHED
  TCP    [::1]:49154            [::1]:56466            ESTABLISHED
  TCP    [::1]:49154            [::1]:56470            ESTABLISHED
  TCP    [::1]:49155            [::1]:56385            ESTABLISHED
  TCP    [::1]:49155            [::1]:56553            ESTABLISHED
  TCP    [::1]:49155            [::1]:56554            ESTABLISHED
  TCP    [::1]:49155            [::1]:56557            ESTABLISHED
  TCP    [::1]:49155            [::1]:56558            ESTABLISHED
  TCP    [::1]:49155            [::1]:56561            ESTABLISHED
  TCP    [::1]:49155            [::1]:56562            ESTABLISHED
  TCP    [::1]:49155            [::1]:56565            ESTABLISHED
  TCP    [::1]:49155            [::1]:56566            ESTABLISHED
  TCP    [::1]:49155            [::1]:56571            ESTABLISHED
  TCP    [::1]:49155            [::1]:56572            ESTABLISHED
  TCP    [::1]:49155            [::1]:56573            ESTABLISHED
  TCP    [::1]:49155            [::1]:56574            ESTABLISHED
  TCP    [::1]:49155            [::1]:56577            ESTABLISHED
  TCP    [::1]:49155            [::1]:56578            ESTABLISHED
  TCP    [::1]:49155            [::1]:56579            ESTABLISHED
  TCP    [::1]:49155            [::1]:56582            ESTABLISHED
  TCP    [::1]:49155            [::1]:56583            ESTABLISHED
  TCP    [::1]:49155            [::1]:56584            ESTABLISHED
  TCP    [::1]:49155            [::1]:56587            ESTABLISHED
  TCP    [::1]:49155            [::1]:56590            ESTABLISHED
  TCP    [::1]:49155            [::1]:56591            ESTABLISHED
  TCP    [::1]:49155            [::1]:56592            ESTABLISHED
  TCP    [::1]:49516            [::]:0                 LISTENING
  TCP    [::1]:49844            [::1]:49154            ESTABLISHED
  TCP    [::1]:54674            [::1]:49154            ESTABLISHED
  TCP    [::1]:56327            [::1]:49154            ESTABLISHED
  TCP    [::1]:56332            [::1]:49154            ESTABLISHED
  TCP    [::1]:56385            [::1]:49155            ESTABLISHED
  TCP    [::1]:56464            [::1]:49154            TIME_WAIT
  TCP    [::1]:56465            [::1]:49154            TIME_WAIT
  TCP    [::1]:56466            [::1]:49154            ESTABLISHED
  TCP    [::1]:56467            [::1]:49154            TIME_WAIT
  TCP    [::1]:56469            [::1]:49154            TIME_WAIT
  TCP    [::1]:56470            [::1]:49154            ESTABLISHED
  TCP    [::1]:56471            [::1]:49154            TIME_WAIT
  TCP    [::1]:56490            [::1]:49154            TIME_WAIT
  TCP    [::1]:56491            [::1]:49154            TIME_WAIT
  TCP    [::1]:56492            [::1]:49154            TIME_WAIT
  TCP    [::1]:56493            [::1]:49154            TIME_WAIT
  TCP    [::1]:56496            [::1]:49154            TIME_WAIT
  TCP    [::1]:56497            [::1]:49154            TIME_WAIT
  TCP    [::1]:56498            [::1]:49154            TIME_WAIT
  TCP    [::1]:56504            [::1]:5357             TIME_WAIT
  TCP    [::1]:56505            [::1]:49152            TIME_WAIT
  TCP    [::1]:56506            [::1]:49152            TIME_WAIT
  TCP    [::1]:56507            [::1]:49155            TIME_WAIT
  TCP    [::1]:56508            [::1]:49155            TIME_WAIT
  TCP    [::1]:56509            [::1]:49152            TIME_WAIT
  TCP    [::1]:56510            [::1]:49152            TIME_WAIT
  TCP    [::1]:56511            [::1]:49155            TIME_WAIT
  TCP    [::1]:56512            [::1]:49152            TIME_WAIT
  TCP    [::1]:56513            [::1]:49152            TIME_WAIT
  TCP    [::1]:56514            [::1]:49155            TIME_WAIT
  TCP    [::1]:56515            [::1]:49155            TIME_WAIT
  TCP    [::1]:56516            [::1]:49152            TIME_WAIT
  TCP    [::1]:56517            [::1]:49152            TIME_WAIT
  TCP    [::1]:56518            [::1]:49155            TIME_WAIT
  TCP    [::1]:56519            [::1]:49152            TIME_WAIT
  TCP    [::1]:56520            [::1]:49152            TIME_WAIT
  TCP    [::1]:56521            [::1]:49155            TIME_WAIT
  TCP    [::1]:56522            [::1]:49155            TIME_WAIT
  TCP    [::1]:56523            [::1]:49155            TIME_WAIT
  TCP    [::1]:56524            [::1]:49152            TIME_WAIT
  TCP    [::1]:56525            [::1]:49152            TIME_WAIT
  TCP    [::1]:56526            [::1]:49152            TIME_WAIT
  TCP    [::1]:56527            [::1]:49152            TIME_WAIT
  TCP    [::1]:56528            [::1]:49155            TIME_WAIT
  TCP    [::1]:56529            [::1]:49155            TIME_WAIT
  TCP    [::1]:56530            [::1]:49155            TIME_WAIT
  TCP    [::1]:56531            [::1]:49155            TIME_WAIT
  TCP    [::1]:56532            [::1]:49152            TIME_WAIT
  TCP    [::1]:56533            [::1]:49152            TIME_WAIT
  TCP    [::1]:56534            [::1]:49155            TIME_WAIT
  TCP    [::1]:56535            [::1]:49155            TIME_WAIT
  TCP    [::1]:56536            [::1]:49155            TIME_WAIT
  TCP    [::1]:56537            [::1]:49152            TIME_WAIT
  TCP    [::1]:56538            [::1]:49152            TIME_WAIT
  TCP    [::1]:56539            [::1]:49155            TIME_WAIT
  TCP    [::1]:56540            [::1]:49155            TIME_WAIT
  TCP    [::1]:56541            [::1]:49155            TIME_WAIT
  TCP    [::1]:56542            [::1]:49152            TIME_WAIT
  TCP    [::1]:56543            [::1]:49152            TIME_WAIT
  TCP    [::1]:56544            [::1]:49155            TIME_WAIT
  TCP    [::1]:56545            [::1]:49155            TIME_WAIT
  TCP    [::1]:56546            [::1]:49152            TIME_WAIT
  TCP    [::1]:56547            [::1]:49152            TIME_WAIT
  TCP    [::1]:56548            [::1]:49155            TIME_WAIT
  TCP    [::1]:56549            [::1]:49155            TIME_WAIT
  TCP    [::1]:56551            [::1]:49152            TIME_WAIT
  TCP    [::1]:56552            [::1]:49152            TIME_WAIT
  TCP    [::1]:56553            [::1]:49155            ESTABLISHED
  TCP    [::1]:56554            [::1]:49155            ESTABLISHED
  TCP    [::1]:56555            [::1]:49152            TIME_WAIT
  TCP    [::1]:56556            [::1]:49152            TIME_WAIT
  TCP    [::1]:56557            [::1]:49155            ESTABLISHED
  TCP    [::1]:56558            [::1]:49155            ESTABLISHED
  TCP    [::1]:56559            [::1]:49152            TIME_WAIT
  TCP    [::1]:56560            [::1]:49152            TIME_WAIT
  TCP    [::1]:56561            [::1]:49155            ESTABLISHED
  TCP    [::1]:56562            [::1]:49155            ESTABLISHED
  TCP    [::1]:56563            [::1]:49152            TIME_WAIT
  TCP    [::1]:56564            [::1]:49152            TIME_WAIT
  TCP    [::1]:56565            [::1]:49155            ESTABLISHED
  TCP    [::1]:56566            [::1]:49155            ESTABLISHED
  TCP    [::1]:56567            [::1]:49152            TIME_WAIT
  TCP    [::1]:56568            [::1]:49152            TIME_WAIT
  TCP    [::1]:56569            [::1]:49152            TIME_WAIT
  TCP    [::1]:56570            [::1]:49152            TIME_WAIT
  TCP    [::1]:56571            [::1]:49155            ESTABLISHED
  TCP    [::1]:56572            [::1]:49155            ESTABLISHED
  TCP    [::1]:56573            [::1]:49155            ESTABLISHED
  TCP    [::1]:56574            [::1]:49155            ESTABLISHED
  TCP    [::1]:56575            [::1]:49152            TIME_WAIT
  TCP    [::1]:56576            [::1]:49152            TIME_WAIT
  TCP    [::1]:56577            [::1]:49155            ESTABLISHED
  TCP    [::1]:56578            [::1]:49155            ESTABLISHED
  TCP    [::1]:56579            [::1]:49155            ESTABLISHED
  TCP    [::1]:56580            [::1]:49152            TIME_WAIT
  TCP    [::1]:56581            [::1]:49152            TIME_WAIT
  TCP    [::1]:56582            [::1]:49155            ESTABLISHED
  TCP    [::1]:56583            [::1]:49155            ESTABLISHED
  TCP    [::1]:56584            [::1]:49155            ESTABLISHED
  TCP    [::1]:56585            [::1]:49152            TIME_WAIT
  TCP    [::1]:56586            [::1]:49152            TIME_WAIT
  TCP    [::1]:56587            [::1]:49155            ESTABLISHED
  TCP    [::1]:56588            [::1]:49152            TIME_WAIT
  TCP    [::1]:56589            [::1]:49152            TIME_WAIT
  TCP    [::1]:56590            [::1]:49155            ESTABLISHED
  TCP    [::1]:56591            [::1]:49155            ESTABLISHED
  TCP    [::1]:56592            [::1]:49155            ESTABLISHED
  UDP    0.0.0.0:443            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:9511           *:*                    
  UDP    0.0.0.0:9512           *:*                    
  UDP    0.0.0.0:14862          *:*                    
  UDP    0.0.0.0:56454          *:*                    
  UDP    0.0.0.0:64649          *:*                    
  UDP    0.0.0.0:64785          *:*                    
  UDP    0.0.0.0:65384          *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:44301        *:*                    
  UDP    127.0.0.1:49281        *:*                    
  UDP    127.0.0.1:57612        *:*                    
  UDP    192.168.1.111:137      *:*                    
  UDP    192.168.1.111:138      *:*                    
  UDP    192.168.1.111:1900     *:*                    
  UDP    192.168.1.111:57609    *:*                    
  UDP    192.168.44.1:137       *:*                    
  UDP    192.168.44.1:138       *:*                    
  UDP    192.168.44.1:1900      *:*                    
  UDP    192.168.44.1:57611     *:*                    
  UDP    192.168.48.1:137       *:*                    
  UDP    192.168.48.1:138       *:*                    
  UDP    192.168.48.1:1900      *:*                    
  UDP    192.168.48.1:57610     *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:56455             *:*                    
  UDP    [::]:64786             *:*                    
  UDP    [::]:65385             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:57608            *:*                    
  UDP    [fe80::14d8:13b3:38e1:4764%14]:546  *:*                    
  UDP    [fe80::1ceb:de3c:eea8:53b9%10]:546  *:*                    
  UDP    [fe80::1ceb:de3c:eea8:53b9%10]:1900  *:*                    
  UDP    [fe80::1ceb:de3c:eea8:53b9%10]:57607  *:*                    
  UDP    [fe80::9dcd:8779:864a:3674%4]:546  *:*                    
  UDP    [fe80::9dcd:8779:864a:3674%4]:546  *:*                    
  UDP    [fe80::9dcd:8779:864a:3674%4]:1900  *:*                    
  UDP    [fe80::9dcd:8779:864a:3674%4]:57605  *:*                    
  UDP    [fe80::e176:399:22a5:aac1%18]:546  *:*                    
  UDP    [fe80::e176:399:22a5:aac1%18]:1900  *:*                    
  UDP    [fe80::e176:399:22a5:aac1%18]:57606  *:*                    
